Time(sec),Latitude(°),Longitude(°),Altitude(km),ECR X Position(km),ECR Y Position(km),ECR Z Position(km),ECR X Velocity(m/s),ECR Y Velocity(m/s),ECR Z Velocity(m/s),ECR X Acceleration(m/s²),ECR Y Acceleration(m/s²),ECR Z Acceleration(m/s²)
200.000,32.618150,46.356279,512.673,4009.371,4203.826,3694.716,2468.101,-146.926,776.295,-4.895,-5.469,-4.523
200.100,32.617978,46.354417,512.849,4009.618,4203.812,3694.794,2467.611,-147.473,775.843,-4.895,-5.469,-4.523
200.200,32.617805,46.352556,513.025,4009.865,4203.797,3694.872,2467.122,-148.020,775.390,-4.895,-5.468,-4.522
200.300,32.617632,46.350694,513.201,4010.111,4203.782,3694.949,2466.632,-148.567,774.938,-4.895,-5.468,-4.522
200.400,32.617459,46.348833,513.378,4010.358,4203.767,3695.026,2466.143,-149.114,774.486,-4.895,-5.467,-4.522
200.500,32.617287,46.346972,513.554,4010.605,4203.752,3695.104,2465.653,-149.660,774.034,-4.895,-5.467,-4.522
200.600,32.617114,46.345111,513.729,4010.851,4203.737,3695.181,2465.164,-150.207,773.582,-4.895,-5.467,-4.521
200.700,32.616941,46.343250,513.905,4011.098,4203.722,3695.259,2464.674,-150.754,773.129,-4.895,-5.466,-4.521
200.800,32.616768,46.341389,514.081,4011.344,4203.707,3695.336,2464.185,-151.300,772.677,-4.895,-5.466,-4.521
200.900,32.616595,46.339528,514.257,4011.591,4203.692,3695.413,2463.695,-151.847,772.225,-4.895,-5.465,-4.521
201.000,32.616423,46.337667,514.432,4011.837,4203.677,3695.490,2463.206,-152.393,771.773,-4.895,-5.465,-4.520
201.100,32.616250,46.335806,514.608,4012.083,4203.662,3695.568,2462.717,-152.940,771.321,-4.895,-5.464,-4.520
201.200,32.616077,46.333946,514.783,4012.329,4203.646,3695.645,2462.227,-153.486,770.869,-4.895,-5.464,-4.520
201.300,32.615904,46.332085,514.959,4012.576,4203.631,3695.722,2461.738,-154.032,770.417,-4.895,-5.463,-4.520
201.400,32.615731,46.330225,515.134,4012.822,4203.615,3695.799,2461.248,-154.579,769.965,-4.895,-5.463,-4.519
201.500,32.615558,46.328364,515.309,4013.068,4203.600,3695.876,2460.759,-155.125,769.513,-4.895,-5.462,-4.519
201.600,32.615386,46.326504,515.484,4013.314,4203.584,3695.953,2460.269,-155.671,769.061,-4.895,-5.462,-4.519
201.700,32.615213,46.324644,515.659,4013.560,4203.569,3696.030,2459.780,-156.217,768.610,-4.895,-5.461,-4.519
201.800,32.615040,46.322783,515.834,4013.806,4203.553,3696.106,2459.290,-156.763,768.158,-4.895,-5.461,-4.518
201.900,32.614867,46.320923,516.009,4014.052,4203.537,3696.183,2458.801,-157.309,767.706,-4.895,-5.460,-4.518
202.000,32.614694,46.319063,516.184,4014.298,4203.522,3696.260,2458.311,-157.855,767.254,-4.895,-5.460,-4.518
202.100,32.614521,46.317203,516.359,4014.543,4203.506,3696.337,2457.822,-158.401,766.802,-4.895,-5.459,-4.518
202.200,32.614348,46.315344,516.533,4014.789,4203.490,3696.413,2457.332,-158.947,766.351,-4.895,-5.459,-4.517
202.300,32.614175,46.313484,516.708,4015.035,4203.474,3696.490,2456.843,-159.493,765.899,-4.895,-5.458,-4.517
202.400,32.614003,46.311624,516.882,4015.281,4203.458,3696.566,2456.354,-160.039,765.447,-4.895,-5.458,-4.517
202.500,32.613830,46.309764,517.057,4015.526,4203.442,3696.643,2455.864,-160.585,764.995,-4.895,-5.457,-4.517
202.600,32.613657,46.307905,517.231,4015.772,4203.426,3696.719,2455.375,-161.130,764.544,-4.895,-5.457,-4.516
202.700,32.613484,46.306045,517.405,4016.017,4203.410,3696.796,2454.885,-161.676,764.092,-4.895,-5.456,-4.516
202.800,32.613311,46.304186,517.579,4016.263,4203.394,3696.872,2454.396,-162.222,763.641,-4.895,-5.456,-4.516
202.900,32.613138,46.302327,517.753,4016.508,4203.377,3696.949,2453.906,-162.767,763.189,-4.895,-5.455,-4.516
203.000,32.612965,46.300468,517.927,4016.753,4203.361,3697.025,2453.417,-163.313,762.737,-4.895,-5.455,-4.515
203.100,32.612792,46.298608,518.101,4016.999,4203.345,3697.101,2452.927,-163.858,762.286,-4.895,-5.455,-4.515
203.200,32.612619,46.296749,518.275,4017.244,4203.328,3697.177,2452.438,-164.404,761.834,-4.895,-5.454,-4.515
203.300,32.612446,46.294890,518.449,4017.489,4203.312,3697.253,2451.948,-164.949,761.383,-4.895,-5.454,-4.515
203.400,32.612273,46.293031,518.622,4017.734,4203.295,3697.330,2451.459,-165.494,760.931,-4.895,-5.453,-4.514
203.500,32.612100,46.291173,518.796,4017.980,4203.279,3697.406,2450.969,-166.040,760.480,-4.895,-5.453,-4.514
