Time(sec),Latitude(°),Longitude(°),Altitude(km),ECR X Position(km),ECR Y Position(km),ECR Z Position(km),ECR X Velocity(m/s),ECR Y Velocity(m/s),ECR Z Velocity(m/s),ECR X Acceleration(m/s²),ECR Y Acceleration(m/s²),ECR Z Acceleration(m/s²)
220.000,32.583466,45.985501,546.332,4057.754,4199.800,3709.341,2401.376,-244.086,716.742,-4.896,-5.380,-4.475
221.000,32.581799,45.966895,547.972,4060.154,4199.553,3710.055,2396.480,-249.465,712.269,-4.896,-5.376,-4.472
222.000,32.580138,45.948306,549.604,4062.547,4199.302,3710.765,2391.584,-254.839,707.797,-4.896,-5.371,-4.470
223.000,32.578479,45.929713,551.228,4064.936,4199.043,3711.471,2386.688,-260.207,703.328,-4.896,-5.367,-4.468
224.000,32.576810,45.911129,552.844,4067.321,4198.781,3712.172,2381.792,-265.572,698.862,-4.896,-5.362,-4.466
225.000,32.575150,45.892554,554.452,4069.700,4198.512,3712.869,2376.895,-270.931,694.397,-4.897,-5.358,-4.463
226.000,32.573480,45.873989,556.053,4072.075,4198.240,3713.561,2371.998,-276.287,689.935,-4.897,-5.353,-4.461
227.000,32.571815,45.855426,557.645,4074.444,4197.961,3714.249,2367.102,-281.637,685.475,-4.897,-5.349,-4.459
228.000,32.570147,45.836873,559.229,4076.809,4197.676,3714.932,2362.204,-286.983,681.018,-4.897,-5.344,-4.456
229.000,32.568481,45.818329,560.805,4079.168,4197.387,3715.611,2357.307,-292.325,676.562,-4.897,-5.340,-4.454
230.000,32.566810,45.799794,562.373,4081.523,4197.092,3716.285,2352.409,-297.662,672.109,-4.897,-5.335,-4.452
231.000,32.565143,45.781254,563.933,4083.873,4196.791,3716.955,2347.511,-302.995,667.658,-4.899,-5.331,-4.450
232.000,32.563468,45.762730,565.485,4086.218,4196.485,3717.620,2342.613,-308.323,663.209,-4.899,-5.327,-4.448
233.000,32.561799,45.744208,567.029,4088.558,4196.174,3718.281,2337.714,-313.647,658.763,-4.899,-5.322,-4.445
234.000,32.560129,45.725702,568.565,4090.893,4195.858,3718.938,2332.815,-318.967,654.318,-4.899,-5.317,-4.443
