Time(sec),Latitude(°),Longitude(°),Altitude(km),ECR X Position(km),ECR Y Position(km),ECR Z Position(km),ECR X Velocity(m/s),ECR Y Velocity(m/s),ECR Z Velocity(m/s),ECR X Acceleration(m/s²),ECR Y Acceleration(m/s²),ECR Z Acceleration(m/s²)
0.000,32.987865,50.273492,-0.000,3422.640,4118.711,3452.830,3432.689,1054.547,1709.786,-5.098,-6.820,-5.333
0.100,32.987682,50.271389,0.345,3422.983,4118.817,3453.001,3432.179,1053.865,1709.253,-5.097,-6.819,-5.333
0.200,32.987500,50.269286,0.690,3423.327,4118.922,3453.172,3431.669,1053.183,1708.720,-5.097,-6.818,-5.332
0.300,32.987318,50.267183,1.035,3423.670,4119.027,3453.343,3431.159,1052.501,1708.186,-5.097,-6.817,-5.332
0.400,32.987136,50.265080,1.380,3424.013,4119.133,3453.513,3430.650,1051.819,1707.653,-5.097,-6.816,-5.331
0.500,32.986954,50.262977,1.725,3424.356,4119.238,3453.684,3430.140,1051.138,1707.120,-5.096,-6.815,-5.330
0.600,32.986772,50.260874,2.069,3424.699,4119.343,3453.855,3429.631,1050.456,1706.587,-5.096,-6.814,-5.330
0.700,32.986590,50.258772,2.414,3425.042,4119.448,3454.025,3429.121,1049.775,1706.054,-5.096,-6.813,-5.329
0.800,32.986408,50.256670,2.758,3425.385,4119.553,3454.196,3428.611,1049.094,1705.521,-5.096,-6.812,-5.328
0.900,32.986226,50.254568,3.102,3425.728,4119.658,3454.366,3428.102,1048.412,1704.989,-5.095,-6.811,-5.328
1.000,32.986044,50.252466,3.447,3426.070,4119.763,3454.537,3427.592,1047.731,1704.456,-5.095,-6.811,-5.327
1.100,32.985862,50.250365,3.791,3426.413,4119.867,3454.707,3427.083,1047.050,1703.923,-5.095,-6.810,-5.327
1.200,32.985679,50.248263,4.135,3426.756,4119.972,3454.878,3426.573,1046.369,1703.391,-5.095,-6.809,-5.326
1.300,32.985497,50.246162,4.479,3427.098,4120.077,3455.048,3426.064,1045.689,1702.858,-5.095,-6.808,-5.325
1.400,32.985315,50.244061,4.823,3427.441,4120.181,3455.218,3425.554,1045.008,1702.325,-5.094,-6.807,-5.325
1.500,32.985133,50.241960,5.167,3427.783,4120.286,3455.389,3425.045,1044.327,1701.793,-5.094,-6.806,-5.324
1.600,32.984951,50.239860,5.510,3428.126,4120.390,3455.559,3424.536,1043.647,1701.261,-5.094,-6.805,-5.324
1.700,32.984769,50.237759,5.854,3428.468,4120.494,3455.729,3424.026,1042.966,1700.728,-5.094,-6.804,-5.323
1.800,32.984587,50.235659,6.197,3428.811,4120.599,3455.899,3423.517,1042.286,1700.196,-5.093,-6.803,-5.322
1.900,32.984405,50.233559,6.541,3429.153,4120.703,3456.069,3423.007,1041.606,1699.664,-5.093,-6.802,-5.322
2.000,32.984222,50.231459,6.884,3429.495,4120.807,3456.239,3422.498,1040.926,1699.132,-5.093,-6.801,-5.321
2.100,32.984040,50.229359,7.227,3429.838,4120.911,3456.409,3421.989,1040.245,1698.600,-5.093,-6.800,-5.321
2.200,32.983858,50.227260,7.570,3430.180,4121.015,3456.578,3421.480,1039.566,1698.067,-5.093,-6.799,-5.320
2.300,32.983676,50.225160,7.913,3430.522,4121.119,3456.748,3420.970,1038.886,1697.535,-5.092,-6.798,-5.319
2.400,32.983494,50.223061,8.256,3430.864,4121.223,3456.918,3420.461,1038.206,1697.004,-5.092,-6.797,-5.319
2.500,32.983312,50.220962,8.599,3431.206,4121.326,3457.088,3419.952,1037.526,1696.472,-5.092,-6.796,-5.318
2.600,32.983130,50.218864,8.942,3431.548,4121.430,3457.257,3419.443,1036.847,1695.940,-5.092,-6.796,-5.318
2.700,32.982948,50.216765,9.285,3431.890,4121.534,3457.427,3418.934,1036.167,1695.408,-5.091,-6.795,-5.317
2.800,32.982765,50.214667,9.627,3432.232,4121.637,3457.596,3418.425,1035.488,1694.876,-5.091,-6.794,-5.317
2.900,32.982583,50.212568,9.970,3432.574,4121.741,3457.766,3417.915,1034.808,1694.345,-5.091,-6.793,-5.316
3.000,32.982401,50.210470,10.312,3432.915,4121.844,3457.935,3417.406,1034.129,1693.813,-5.091,-6.792,-5.315
3.100,32.982219,50.208373,10.654,3433.257,4121.948,3458.105,3416.897,1033.450,1693.282,-5.090,-6.791,-5.315
3.200,32.982037,50.206275,10.996,3433.599,4122.051,3458.274,3416.388,1032.771,1692.750,-5.090,-6.790,-5.314
3.300,32.981855,50.204178,11.338,3433.940,4122.154,3458.443,3415.879,1032.092,1692.219,-5.090,-6.789,-5.314
3.400,32.981673,50.202080,11.680,3434.282,4122.257,3458.612,3415.370,1031.413,1691.688,-5.090,-6.788,-5.313
3.500,32.981490,50.199983,12.022,3434.623,4122.361,3458.781,3414.861,1030.734,1691.156,-5.090,-6.787,-5.312
3.600,32.981308,50.197886,12.364,3434.965,4122.464,3458.951,3414.352,1030.056,1690.625,-5.089,-6.786,-5.312
3.700,32.981126,50.195790,12.706,3435.306,4122.567,3459.120,3413.843,1029.377,1690.094,-5.089,-6.785,-5.311
3.800,32.980944,50.193693,13.048,3435.648,4122.669,3459.289,3413.334,1028.699,1689.563,-5.089,-6.784,-5.311
3.900,32.980762,50.191597,13.389,3435.989,4122.772,3459.457,3412.826,1028.020,1689.032,-5.089,-6.783,-5.310
4.000,32.980580,50.189501,13.730,3436.330,4122.875,3459.626,3412.317,1027.342,1688.501,-5.088,-6.783,-5.309
4.100,32.980398,50.187405,14.072,3436.671,4122.978,3459.795,3411.808,1026.664,1687.970,-5.088,-6.782,-5.309
4.200,32.980215,50.185309,14.413,3437.013,4123.080,3459.964,3411.299,1025.986,1687.439,-5.088,-6.781,-5.308
4.300,32.980033,50.183213,14.754,3437.354,4123.183,3460.133,3410.790,1025.308,1686.908,-5.088,-6.780,-5.308
4.400,32.979851,50.181118,15.095,3437.695,4123.285,3460.301,3410.282,1024.630,1686.378,-5.088,-6.779,-5.307
4.500,32.979669,50.179023,15.436,3438.036,4123.388,3460.470,3409.773,1023.952,1685.847,-5.087,-6.778,-5.306
4.600,32.979487,50.176928,15.777,3438.377,4123.490,3460.639,3409.264,1023.274,1685.316,-5.087,-6.777,-5.306
4.700,32.979305,50.174833,16.118,3438.718,4123.593,3460.807,3408.755,1022.596,1684.786,-5.087,-6.776,-5.305
4.800,32.979122,50.172738,16.459,3439.058,4123.695,3460.975,3408.247,1021.919,1684.255,-5.087,-6.775,-5.305
4.900,32.978940,50.170644,16.799,3439.399,4123.797,3461.144,3407.738,1021.241,1683.725,-5.086,-6.774,-5.304
5.000,32.978758,50.168549,17.140,3439.740,4123.899,3461.312,3407.229,1020.564,1683.195,-5.086,-6.773,-5.303
5.100,32.978576,50.166455,17.480,3440.081,4124.001,3461.481,3406.721,1019.887,1682.664,-5.086,-6.772,-5.303
5.200,32.978394,50.164361,17.820,3440.421,4124.103,3461.649,3406.212,1019.210,1682.134,-5.086,-6.771,-5.302
5.300,32.978212,50.162268,18.161,3440.762,4124.205,3461.817,3405.704,1018.532,1681.604,-5.086,-6.770,-5.302
5.400,32.978029,50.160174,18.501,3441.102,4124.307,3461.985,3405.195,1017.855,1681.074,-5.085,-6.770,-5.301
5.500,32.977847,50.158081,18.841,3441.443,4124.408,3462.153,3404.687,1017.179,1680.544,-5.085,-6.769,-5.300
5.600,32.977665,50.155988,19.181,3441.783,4124.510,3462.321,3404.178,1016.502,1680.014,-5.085,-6.768,-5.300
5.700,32.977483,50.153895,19.520,3442.124,4124.612,3462.489,3403.670,1015.825,1679.484,-5.085,-6.767,-5.299
5.800,32.977301,50.151802,19.860,3442.464,4124.713,3462.657,3403.161,1015.148,1678.954,-5.084,-6.766,-5.299
5.900,32.977119,50.149709,20.200,3442.804,4124.815,3462.825,3402.653,1014.472,1678.424,-5.084,-6.765,-5.298
6.000,32.976936,50.147617,20.539,3443.145,4124.916,3462.993,3402.144,1013.795,1677.894,-5.084,-6.764,-5.298
6.100,32.976754,50.145524,20.879,3443.485,4125.018,3463.161,3401.636,1013.119,1677.364,-5.084,-6.763,-5.297
6.200,32.976572,50.143432,21.218,3443.825,4125.119,3463.328,3401.128,1012.443,1676.835,-5.084,-6.762,-5.296
6.300,32.976390,50.141340,21.557,3444.165,4125.220,3463.496,3400.619,1011.767,1676.305,-5.083,-6.761,-5.296
6.400,32.976208,50.139249,21.897,3444.505,4125.321,3463.663,3400.111,1011.091,1675.776,-5.083,-6.760,-5.295
6.500,32.976025,50.137157,22.236,3444.845,4125.422,3463.831,3399.603,1010.415,1675.246,-5.083,-6.759,-5.295
6.600,32.975843,50.135066,22.575,3445.185,4125.523,3463.999,3399.094,1009.739,1674.717,-5.083,-6.758,-5.294
6.700,32.975661,50.132975,22.914,3445.525,4125.624,3464.166,3398.586,1009.063,1674.187,-5.082,-6.758,-5.293
6.800,32.975479,50.130884,23.252,3445.865,4125.725,3464.333,3398.078,1008.387,1673.658,-5.082,-6.757,-5.293
6.900,32.975297,50.128793,23.591,3446.205,4125.826,3464.501,3397.570,1007.712,1673.129,-5.082,-6.756,-5.292
7.000,32.975114,50.126702,23.930,3446.544,4125.927,3464.668,3397.061,1007.036,1672.599,-5.082,-6.755,-5.292
7.100,32.974932,50.124612,24.268,3446.884,4126.027,3464.835,3396.553,1006.361,1672.070,-5.082,-6.754,-5.291
7.200,32.974750,50.122522,24.607,3447.224,4126.128,3465.002,3396.045,1005.685,1671.541,-5.081,-6.753,-5.290
7.300,32.974568,50.120432,24.945,3447.563,4126.228,3465.170,3395.537,1005.010,1671.012,-5.081,-6.752,-5.290
7.400,32.974386,50.118342,25.283,3447.903,4126.329,3465.337,3395.029,1004.335,1670.483,-5.081,-6.751,-5.289
7.500,32.974203,50.116252,25.621,3448.242,4126.429,3465.504,3394.521,1003.660,1669.954,-5.081,-6.750,-5.289
7.600,32.974021,50.114163,25.959,3448.582,4126.530,3465.671,3394.013,1002.985,1669.426,-5.081,-6.749,-5.288
7.700,32.973839,50.112073,26.297,3448.921,4126.630,3465.838,3393.505,1002.310,1668.897,-5.080,-6.748,-5.288
7.800,32.973657,50.109984,26.635,3449.260,4126.730,3466.004,3392.997,1001.635,1668.368,-5.080,-6.747,-5.287
7.900,32.973474,50.107895,26.973,3449.600,4126.830,3466.171,3392.489,1000.960,1667.839,-5.080,-6.747,-5.286
8.000,32.973292,50.105806,27.311,3449.939,4126.930,3466.338,3391.981,1000.286,1667.311,-5.080,-6.746,-5.286
8.100,32.973110,50.103718,27.648,3450.278,4127.030,3466.505,3391.473,999.611,1666.782,-5.079,-6.745,-5.285
8.200,32.972928,50.101630,27.986,3450.617,4127.130,3466.671,3390.965,998.937,1666.254,-5.079,-6.744,-5.285
8.300,32.972746,50.099541,28.323,3450.956,4127.230,3466.838,3390.457,998.263,1665.725,-5.079,-6.743,-5.284
8.400,32.972563,50.097453,28.661,3451.295,4127.330,3467.004,3389.949,997.588,1665.197,-5.079,-6.742,-5.283
8.500,32.972381,50.095365,28.998,3451.634,4127.430,3467.171,3389.441,996.914,1664.669,-5.079,-6.741,-5.283
8.600,32.972199,50.093278,29.335,3451.973,4127.529,3467.337,3388.933,996.240,1664.140,-5.078,-6.740,-5.282
8.700,32.972017,50.091190,29.672,3452.312,4127.629,3467.504,3388.425,995.566,1663.612,-5.078,-6.739,-5.282
8.800,32.971834,50.089103,30.009,3452.651,4127.728,3467.670,3387.918,994.892,1663.084,-5.078,-6.738,-5.281
8.900,32.971652,50.087016,30.346,3452.990,4127.828,3467.836,3387.410,994.218,1662.556,-5.078,-6.737,-5.281
